"";"Agrostidinae";"Alnus";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Braya";"Cardamine";"Carex";"Castilleja";"Cerastium";"Chrysosplenium";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Galium";"Geum";"Juniperus";"Kobresia";"Larix";"Luzula";"Minuartia";"Myosotis";"Oxytropis";"Papaver";"Parrya";"Pedicularis";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Ranunculaceae";"Ranunculus";"Rhododendron";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifragaceae";"Senecioninae";"Silene";"Stellaria";"Tephroseris";"Thalictrum";"Thymus";"Valeriana"
"X13.TY.1";0;0;12,3;0;0,08;0,01;25,33;4,86;11,4;23,81;0,22;0;0;28,73;0;0;1,22;0;2,57;0,76;165,73;0,42;0;12,22;1,44;0;0,65;0;0,65;2,78;1,07;0;0;1,62;11,77;2,12;3,3;0;0;9;0;0;0,52;8,42;14,81;0;1,37;0,06;0;1247,37;0,02;0,01;1,47;0,73;0,29;1,07;0,23;0;1,23;0;7,79
"X13.TY.2";1,61;0;0;0;0;0;2,67;0;0;219,96;0,1;0;0;75,64;0;0;0;0;0;0;36,37;0;0;19,15;0;0;0;0;0;0;0;0;0;0;0;0;5,93;0;0;71,1;0;0;0;2,04;0,99;0;10,8;0,65;0;880,68;1,15;0;0;0;0;0;0;0,42;0;0;0
"X13.TY.5";1,09;0;1,49;0;0;0;27,42;0,08;0;636,9;1,09;0;0;24,53;0;0;0;0;0;0,75;233,19;0;0;1,58;0;0;0;0;0;0;0;0;0;0;1,4;0;2,94;0;0;8,07;0;0;0;0,07;6,29;0;0;0;0;690,21;0,15;0;1,04;0;0,03;0;0;0,01;0;0;0
"X13.TY.03";0;0;0;0;0;0;119,8;0,36;0;93,65;7,52;0;0;13,27;0;0;0;0;0;0;95,43;0;0,64;1,02;0;0;0;0;0;1,38;0;0;0;0;0;0;3,93;282,87;0;66,18;0;0;0;0;44,48;0;0,04;0;0;769,1;1,04;0;1,43;3,21;0;0;0;7,19;0;0;3,51
"X13.TY.4";0;0;0;0;0;0;0;0;0;834,11;0;0;78,64;3,48;0;0;0;0;0;0;0;0;1,8;0,56;0;0;0;0;0;0;1,98;0;0;0;0;0;24,23;0;0;0;0;0;37,54;0;6,96;0;47,76;0,08;0;363,98;0;0;0;0;0;0;0;0;0;0;0
"X13.TY.6";0,36;0;10,96;0;0,06;2,26;30,5;3,98;14,37;213,86;0,26;0;0;19,19;0;0;0;0;0;0;810,52;5,57;0;1,15;0;0;0;0;0;3,77;0,46;0;0;6,15;0,13;0;3,82;0;0;4,29;0,95;0;0;0,33;21,31;0;0;0;0;468,68;0,27;0;0,65;0,01;0,05;0;0;0;0;0;0,81
"X13.TY.8";0;0;0,04;0,03;0;0;41,67;0,05;8,31;166,63;2,24;0;0;21,3;0;0;0;0;0;0;138,08;1,31;0;3,2;0,01;0;0;0;0;0,03;0;0;0;0;1,55;0;2,17;0;0;21,86;0;0;0;0,1;10,35;0;0;0;0,29;1191,02;0,14;0,06;1,48;0,25;0;0;0;0;0;0;3,5
"X13.TY.12";0;0;0;0;0;0;1,77;0;0;12,33;0;0;0;0,08;0;0;0,07;0;0;0;5,71;0;0,53;0;0;0;0;0;0;0,73;0;0;0;0;0,25;0;4,49;1,47;0;457,78;0;0;6,85;11,79;1,71;0;1,66;0,01;0,73;1183,11;0;0;0;0,28;0;0;0;0;0;0;0,01
"X13.TY.11";0;0;0;0;0;0;2,74;0;0,64;17,03;0;2,53;0;4,86;0;0;1,51;0;0;0;0;0;8,42;3,25;0;0;0;0;0;0,08;0;0;0;0;0;0;0,57;0;0;831,44;0;0;234,29;8,16;0,2;0;2,23;0;0;535,48;0;0;3,04;0;0;0;0;1;0;0;0
"X13.TY.10";0;0;0;0;0;0;12,49;0,04;0;33,38;0;0;0;1,52;0;0;0;0;0;0;5,75;0;0;0,11;0;0;0;6,23;0;4,92;0;0;0;0;0;0;0;0;0;167,03;0;0;4,14;329,04;35,97;0;55,55;0,1;0;953,83;0,04;0;1,7;0;0;0;0;0;0;0;0
"X13.TY.09";2,97;0,16;11,85;1,44;0;0;71,34;2,11;0,13;28,42;1,02;2,04;0;7,42;0;0,08;0,03;0;0;1,27;127,41;0,18;1,78;7,97;2,75;0;0;0;0,02;88,94;0,31;0;0;0,61;8,77;1,29;0,52;0;0;5,36;0;0;57,39;0,78;137,81;0,26;39,26;4,27;0;880,09;0,61;0,16;0,83;1,92;0,61;0,1;0,42;2,03;0,2;0;1,24
"X13.TY.15";0;0;0;0;2,47;0,1;172,88;1;0;16,1;0;0;0;17,4;0;0;0;0;0;0;27;3,22;0;3,76;3,37;0;0;0;0;349,62;0,1;0;0;0;0;0;0;0;0;8;0;0;0;24,92;15;0;0;0;0;891,5;0,21;0;0,6;0;0;0;1;3,63;0;0;0
"X13.TY.13";1,24;0,02;4,32;0;0;0;36,3;4,58;1,22;12,22;0;0;0;28,53;2,49;0;0,55;2,05;0;0;132,49;2,01;0,07;5,92;0,96;0;0;0;0;44,07;1,07;0,65;0;1,9;4,32;1,62;0;0,34;0;120,93;0;0;14,74;14,37;109,84;0;10,36;0,67;0;902,63;0,14;0;2,61;0,91;0,07;0;0;11,79;0;0;1,1
"X13.TY.14";0;0,26;7,19;0;0,01;0;28,24;2,5;1,56;14,32;0,01;0;0;4,67;0;0;0;0;0;0;94,89;7,84;3,7;1,9;4,55;0;0;0;0,09;78,43;0;0;0;0;9,25;0;0;0;1,62;74,71;0;0;1,45;0;131,86;0;15,5;0,64;0;953,75;0,05;0;0;0;0,52;0;0;0;0;0;0
"X13.TY.16";0,24;0,1;21,63;0,66;0;0;35,97;1,96;0,6;12,65;0,17;1,42;0;1,01;0;0,63;1,52;0;0;0,3;133,24;0;0,5;0,19;14,4;0;0;0;0,04;37,33;0;0,04;0;0,47;6,49;0;0,49;2,09;0;59,73;0;0,54;15,92;1,52;52,49;0,27;11,23;1,51;0;1120,19;0,82;2,14;0,52;0,74;0,91;0,3;0,24;88,49;0;0;0,47
"X13.TY.28";0;0,18;1,19;0;0;0;50,02;0,91;0;131,28;0;0;0;1,49;0;0;0;0;0;0;38,51;0;0,43;0,51;0;0;0;0;0;82,09;0;0;0;0;0;0;0;0;0;196,52;0;0;39,09;0;78,37;2,57;24,2;4,04;0;910,99;0,48;0;0,48;0;0;0;0;0,24;0;0;1,63
"X13.TY.27";0;0;0;0;0,57;0;33,44;0;0;12,29;0;0;0;4,53;0;0;0;0;0;0;3,34;0;0,54;0,34;0;0;0;0;0;78;0;0;0;0;0;0;0,04;0;6,3;25,51;0;0;28,14;1,12;11,07;0,69;23,85;0,33;0;1100,14;0,62;0;0;2,21;0;0;0;4,7;0;0;0
"X13.TY.26";0;0,14;0;0;0;0;59,27;0,08;0;47,81;0;7,21;0;4,05;0;0;0;0;0;0;4,55;0;0;1,43;0;0;0;0;0;58,24;0;0;0;0;0;0;0;0;0;8,18;0;0;11,66;0;18,55;0;17,15;0,4;0;1366,64;3,43;0;1,32;7,53;0;0;0;0;1,01;0;2,94
"X13.TY.29";0;0;0;0;0;0;147,57;0,05;0;5,66;0;0;0;0,32;0;0;0;0;0;0;108,13;0;3,76;0,2;3,91;0;0;0;0;178,01;0;0;0;0;0;0;0;1,08;0;1,57;0;0;0;0;11,71;0;0;0;0;1172,58;2,73;0;0;0;0;0;0;0;2,39;0;2,45
"X13.TY.30";0;0,32;10,12;0;0,7;0,71;25,17;0,04;0,38;17,7;0;0;0;1,45;0,27;0;0;0;0;0,13;240,4;1,85;2,73;0,15;0,92;0;0,65;0;0;97,81;0;0;0;0;10,46;0,75;1,29;0,07;0;1,7;0;0;1,63;0,11;75,17;0,69;2,93;0,47;0,38;1024,88;0,31;0;1,02;0;0,41;0;0;0,3;0,41;0;14,35
"X13.TY.31";0;0,11;0,27;0;0;0;4,33;0;0;318,55;0;0;0;4,85;0;0;0,44;0;0;0;2,78;0,54;18,51;1,47;0;0;0;0;0;32,31;0;0;0;0;0,6;0;0,34;0;0;187,08;0;0;38,93;0,17;107,8;0,38;83,09;0,56;0;853,89;0,49;0;0,15;0;0;0;0,15;0,18;0;0;0
"X13.TY.32";0;0,03;0;0;0,36;0;15,03;0,02;0;172,39;0;0;0;0,22;0;0;0;0;0;0;4,95;2,55;1,65;0,35;0;0;0;0;0;61,68;0;0;0;0;0;0;0,17;0;0;52,93;0;0;42,01;0,21;62,58;0;29,1;0,21;0;1188,19;0,69;0;1,84;0,04;0;0;0,2;1,87;0;0;0
"X13.TY.25";0;0,14;0,03;0;0;0;50,47;0,29;0;155,83;0;0;0;5,97;0;0;0;0;0;0;0;0;3,33;6,09;0;0;0;0;0;24,7;0;0;0;0;2,2;0;0,36;0;0;190,93;0;0;340,74;0;44,39;0;56,31;0,09;0;761,02;2,83;0;16,03;0;0;0;0;2,79;0;0;0
"X13.TY.17";0;0;0,97;0;0;0;3,9;0,07;0;31,92;0;0;0;3,49;0;0;0;0;0;0;0;0;0;0,68;0;0;0;0;0;793,71;0;0;0;1,42;0;0;0,1;0;0;0;0;0;0;0,42;1,72;0;2,7;0;0;572,55;9,88;0;0;0;0,16;0;0;0;0;0;0
"X13.TY.20";0,79;0,14;0;0;0;0;3,18;0;0;271,09;0;0;0;6,79;0;0;0;0;0;0;0;0;3,27;0,34;0;0,51;0;0;0;77,99;0;0;0;0;0;0;0;5,95;0;0;0;0;0;0;257,62;0;305,86;0,42;0;601,7;11,44;0;0;0;0;0;0;0,18;0;0;0
"X13.TY.21";0;0;0,61;1,12;0;0;10,09;0;0;15,99;0;0;0;5,44;0;0;1,45;0;0;0;45,84;0;0;0,51;0;0;0;0;0;35,57;0;0;1,52;0;3,4;0;0;0;0;3,63;0;0;5,36;0;15,29;0;8,84;0;0;1520,71;0;0;0;0;0;0;0;1,86;0;0;0
"X13.TY.23";12,75;0,28;0;0;0;0;69,43;0,13;0;28,87;3,05;0;0;0,96;0;0;0,44;0;0;0;31,79;0;4,02;0,12;0;0;0;0;0;207,81;0;0,08;4,64;0;0;0;0;0;0;0;4,78;0;13,44;10,68;44,14;0;44,18;1,74;0;984,63;1,34;0;2,89;0;0,07;0;1,49;126,46;0;0;1,36
"X13.TY.19";0;0;0;0;0;0;120,32;0,43;0;22,52;0;0;0;74,9;0;0;0;0;0;0;0;0;0;7,78;0;0;0;0;0;653,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140,66;0;155,35;0;0;489,17;0,56;0;0;0;0;0;0;0;0;0;0
"X13.TY.22";5,72;0;4,4;0;0,08;0;26,88;0,03;0;384,24;0;0;0;0,48;0;0;0;0;0;0;40,23;0;1,02;0,07;0,61;4,3;0;0;0;159,01;0;0;0;0,16;0,03;0;0,36;0;0;0;7,98;0;14,16;1,26;27,63;0;44,79;2,04;0;898,81;2,09;5,03;1,63;0;0,37;0;2,02;31,97;0;0;0
"X13.TY.24";0,5;0,01;6,14;0,78;0;0,47;28,78;0,08;0,27;28,47;0;0;0;0,05;0;0;0,13;0,14;0;0;108,46;0;0,6;0;6,43;0;0,47;0;0;52,01;0;0;0,44;0,32;1,25;0;0;0;0,33;1,26;0,06;0;1,84;11,46;26,42;0,18;29,14;3,19;0,4;1336,29;7,42;7,87;0;0;0,92;0;0;0,24;0;1,58;0,41
"X13.TY.18";0;0;0;0;0;0;165,81;0;0;37,63;0;0;0;43,01;0;0;0;0;0;0;72,06;0;0;0;0;0;0;109,49;0;117,62;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;55,83;0;3,38;0;0;941,68;0;0;0;0;0;0;0;0;0;0;0
