"";"Achillea.millefolium";"Agrostidinae";"Alnus";"Alnus.alnobetula";"Alyssum.obovatum";"Andromeda.polifolia";"Androsace.chamaejasme";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Bistorta.vivipara";"Braya";"Cardamine";"Carex";"Carex.aquatilis";"Carex.lachenalii";"Carex.vaginata";"Cassiope.tetragona";"Castilleja";"Cerastium";"Chamaedaphne.calyculata";"Chamerion.angustifolium";"Chrysosplenium";"Convallaria.majalis";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Eutrema.edwardsii";"Galium";"Geum";"Hedysarum.boreale";"Hedysarum.hedysaroides";"Hedysarum.hedysaroides.subsp..arcticum";"Hulteniella.integrifolia";"Juniperus";"Kobresia";"Lagotis.glauca";"Larix";"Luzula";"Micranthes.nelsoniana";"Minuartia";"Muhlenbergia.richardsonis";"Myosotis";"Myosotis.alpestris";"Oxycoccus.quadripetalus";"Oxyria.digyna";"Oxytropis";"Pachypleurum.alpinum";"Papaver";"Parrya";"Pedicularis";"Pedicularis.capitata";"Pedicularis.lanata";"Pedicularis.lapponica";"Pedicularis.oederi";"Pedicularis.pacifica";"Pedicularis.pennellii";"Pedicularis.sceptrum.carolinum";"Pedicularis.tristis";"Pedicularis.verticillata";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Pyrola.grandiflora";"Pyrola.rotundifolia";"Ranunculaceae";"Ranunculus";"Ranunculus.arcticus";"Ranunculus.pygmaeus";"Ranunculus.reptans";"Ranunculus.sceleratus";"Rhodiola.rosea";"Rhododendron";"Rhododendron.lapponicum";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifraga.hirculus";"Saxifraga.oppositifolia";"Saxifraga.porsildiana";"Saxifragaceae";"Senecioninae";"Silene";"Sium.suave";"Stellaria";"Stellaria.borealis";"Stellaria.longifolia";"Tephroseris";"Thalictrum";"Thymus";"Tofieldia.coccinea";"Vaccinium.microcarpum";"Vaccinium.myrtillus";"Vaccinium.uliginosum";"Vaccinium.vitis.idaea";"Valeriana"
"X13.TY.1";0;0;0;1,06;0;0;0,69;11,93;0;0,1;0;24,53;4,49;10,64;23,48;0,26;14,29;0;0;29,97;30,93;0;0,06;0;0;0;0;0;1,15;0;0;2,51;0,96;166;0,58;0;12,35;1,61;0;0;0,86;0;0;0;0;0;0,58;2,71;2,51;0,96;0,42;0;1,01;0;3,67;0;3,84;1,64;0,31;12,26;2,57;3,14;4,11;0;0,56;4,22;0,49;0;0,04;0,09;3,19;0;0;9;0;0;3,97;0,68;0,54;8,29;0;1,32;0,57;0,47;0,22;15,26;0,06;0;1,47;0,13;0;1246,63;0,01;0,01;1,63;6,33;3,02;1,26;0,83;0,3;0,9;0;0,24;0;0;0,02;1,25;0;1,4;0;0;6,85;3,01;7,56
"X13.TY.2";0;1,45;0;0;0;0,02;0;0;0;0;0;2,35;0;0;220,76;0,22;2,3;0;0;75,46;364,67;0;0;0;0;0;0;0;0;0;0;0;0;36,68;0;0;18,13;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;5,38;0;0,3;0;0,11;0,39;0;0;0;0;0;0;69,85;0;0;0;0;0;2,37;0;0;0;3,52;0;1,09;0;0;10,23;0,55;0;881,73;1,13;0;0,04;5,04;0;0;0;0,01;0;0;0;0;0;0,26;0;0;0;0;0;2,02;1,44;0
"X13.TY.5";0;0,95;0;0;0;0;0;1,41;0;0;0;27,14;0,06;0;636,45;1,04;13,05;0;0;25,23;27,08;2,2;0;0;0;0;0;0;0;0;0;0;0,77;235,81;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0,98;0;0;0,21;0;0;0;0;0;0,05;0;0;1,53;0;2,85;0,45;0;0,64;0,2;0;0;0;0;0;0;0;7,7;0;0;1,3;0,08;0;0,03;0;0,8;0;0;0;6,17;0,02;0;0;0;0;687,45;0,21;0;1,05;0;0;0,55;0;0,04;0;0;0;0;0;0;0;0;0;0;0;22,78;2,24;0,04
"X13.TY.03";0;0;0;0;0;0;0;0;0;0;0;119,66;0,28;0;93,9;7,54;103,66;0;0;13,43;28,63;0;0;5,21;0;0;0;0;0;0;0;0;0;96,53;0;0,76;0,85;0;0,24;0;0;0;0;0;0;0;0;2,4;1,45;0;0,79;0;0;0;0;0;19,93;0;0;0;0;3,87;3,37;0;0,25;0;0,44;0;0,08;0;0;278,63;0;66,9;0;0;4,51;0,89;0;0;0;0;0;0;0;43,6;0,43;0;0,02;0;0;772,73;1,12;0;1,54;8,84;0;4,61;3,52;0,01;0;0;0;0;0;7,25;0;0;0;0;0;4,54;4,53;3,06
"X13.TY.4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;832,67;0;13,88;0;79,1;3,45;29,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,84;0,58;0;0;0;0;0;0;0;0;0;0;0;0;2,03;0;0;244,23;0;0;0;0;0;0;0;0;24,62;0;0;0;0;12,71;0;0;0;0;0;0;0;0;0;0;0;38,45;0;0;0;0;0;0;6,8;0;0;46,68;0,08;0;365,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,35;0;0
"X13.TY.6";0;0,29;0;0;0;0;0;10,11;0;0,07;1,89;29,75;4,29;13,99;215,33;0,37;6,54;0;0;19,13;20,74;1,69;0;0;0;0;0;0;0;0;0;0;0;805,55;5,8;0;1,02;0;0;0;0;0;0;0;0;0;0;0;3,14;0,43;0;0;0;0;0;0;0,55;6,1;0;0,13;0;3,8;13,39;0,03;0,71;8;0;0;0,5;0;0;0;0;4,15;1,15;0;0,07;0,02;0;0,25;0;2,48;0;0;0;21,9;0,21;0;0;0;0;471,73;0,2;0;0,62;3,13;1,9;0;0,02;0,05;0;0;0;0;0;0;0;0;0;0;0;16,54;11,19;1,05
"X13.TY.8";0;0;0;16,38;0;0;0;0,04;0,04;0;0;39,09;0,04;8,32;169,01;2,04;8,2;0;0;21,88;14,06;0,2;0,42;0;0;0;0;0;0;0;0;0;0;139,05;1,42;0;2,7;0,04;0;0;0;0;0;0;0;0;0;0;0,04;0;0,51;0;0;0;0;0;0;0,03;0;1,52;0;2,38;10,19;0;1,32;1,28;0,37;0;0,07;0;0;0;0;21,56;0;0;0,39;0;0;0,09;0,02;0,29;0;0;0;10,1;0,02;0;0;0;0,34;1188,89;0,11;0,03;1,47;0;0;0,3;0,37;0;0;0;0;0;0;0;0;0;0;0;0;33,55;8,38;3,45
"X13.TY.12";0;0;0;0,23;0;0;0;0;0;0;0;1,76;0;0;12,04;0;5,53;0;0;0,13;0,17;0;0;0,04;0;0;0;0;0,06;0;0;0;0;5,52;0;0,56;0,02;0;0,25;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0,23;0;4,66;0,52;0;0;0;1,12;0;0;0;0;1,31;0;462,01;0;0;0,22;0;7,46;11,82;0;0;8,39;0,06;0;1,56;0,06;0;1,69;0,05;0,86;1177,86;0;0;0;0,18;0;0,04;0,17;0;0;0;0;0;0;0;0;0;0;0;0;2,48;0,02;0,02
"X13.TY.11";0;0;0;0,28;0;0;0;0;0;0;0;2,93;0;0,71;17,03;0;0,56;2,47;0;4,51;47,5;0;0;0;0;0;0;0;1,55;0;0;0;0;0;0;8,6;3,11;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0,69;0,1;0;0;0;0,04;0;0,23;0;0;0;0;831,98;0;0;0;0;236,84;7,79;0;0;0,04;2,92;0;0,17;0;0;2,15;0;0;533,44;0;0;3,13;0,07;0;0;0;0;0;0;0;0;0;1,01;0;0;0;0;0;0;0;0
"X13.TY.10";0;0;0;1,99;0;0;0;0;0;0;0;12,33;0,02;0;34,66;0;3;0;0;1,49;1,55;0;0,15;0;0;0;0;0;0;0;0;0;0;5,78;0;0;0,16;0;0;0;0;0;0;0;0;6,62;0;0;5,14;0;0;0;2,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164,92;0;0;0;0;4,75;328,49;0;0;0;9,9;0;36,2;0,09;0;55,62;0,16;0;953,8;0,04;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,29;60,93;0
"X13.TY.09";0,04;3,06;0,23;62,18;8,24;0;1,04;11,36;1,48;0;0;70,84;2,17;0,14;28,92;1,09;1,93;2,07;0;7,59;3,34;0;1,04;0,01;0;0,06;0,18;0;0,11;0;0;0;1,47;127,41;0,15;1,71;8,29;2,82;0;0;0;0;0,73;0;0,35;0;0;0,68;89,61;0,36;0,57;0,01;0;0;0,17;0;1,64;0,67;3,21;8,63;1,13;0,61;0,02;0;0,9;0,18;0,04;0;0,17;0;0,3;0;0;5,93;0;0;15,06;1,93;57,94;0,58;0;0;0,07;0,06;0,04;141,2;2,1;0,32;38,38;4,25;0;878,1;0,67;0,21;0,8;0,45;0;0,54;1,84;0,83;0,08;0;0,51;0,05;0,01;2,08;0,25;0;0;0;0,21;67,82;27,64;1,1
"X13.TY.15";0;0;0;6,15;0;0;0;0;0;2,58;0,07;173,02;0,89;0;17,22;0;7,42;0;0;17,61;52,96;0;0,77;24,77;0;0;0;0;0;0;0;0;0;26,87;3,37;0;3,9;3,12;0;0;0;0;0;0;0;0;0;0;347,24;0,13;0;0;6,48;0;0;0;0;0;0;0;0;0;0;0;1,06;0;0;0;0;0;0;0;0;8,27;0;0;0,93;0,08;0;25,13;0;0;27,1;0;0;15,94;0,12;0;0;0;0;889,96;0,21;0;0,57;0;0;0;0;0;0;0;1,08;0,09;0;3,62;0;0;0;0;0;32,58;8,69;0
"X13.TY.13";0;1,1;0,02;86,65;0;0;0,07;4,13;0;0;0;36,05;4,35;1,22;12,93;0;4,38;0;0;28,49;7,23;0;1,66;2,31;2,64;0;0;0;0,43;0,03;1,8;0;0;132,45;1,97;0,06;6,06;1,2;0;0;0;1,82;0;0;0,32;0;0;0;43,22;1,12;0;0,44;0;0;0;0;1,26;1,86;0;4,58;1,54;0,04;0,04;0;0,97;0;0;0;0;0;0;0,32;0;120,74;0;0;9,08;1,81;15,55;14,43;1,21;0;11,3;1,71;0;110,69;0,65;0;11,61;0,71;0;902,2;0,19;0;2,75;0,9;0,46;0;0,82;0,12;0;0;0;0;0;11,23;0;0;0;0;0,05;67,11;29,03;0,89
"X13.TY.14";0;0;0,35;101,74;0;0;0;7,38;0;0,01;0;27,65;2,46;1,13;15,67;0,02;8,14;0;0;5,44;1,16;0;0;2,27;0;0;0;2,14;0;0;0;0;0;94,73;7,98;3,83;1,7;4,4;0;0;0;0;0;0;0,36;0;0,2;0;77,77;0;1,26;0;2,25;0;0;0;0;0;0;9,16;0;0;0,55;0;2,09;0;0;0;2,02;0;0;0;1,78;72,71;0;0;27,55;2,3;1,79;0;0;0;0;0;0;130,73;2,72;0;15,32;0,65;0;956,39;0,04;0;0;0;1,84;1,17;0;0,71;0;0;0;0;0;0;0;0;0;0;0;58,02;52,42;0
"X13.TY.16";0;0,28;0,05;31,76;1,75;0;0,28;21,85;0,53;0;0;36,61;2,15;0,38;13,08;0,23;9,11;1,03;0;0,7;0,47;0;0;0;0;0,69;0,49;0;1,52;0,35;0;0;0,27;132,26;0;0,45;0,14;14,77;0;0;0;0;0,24;0;1,09;0;0,07;1,49;37,72;0;0,09;0,07;0,38;0;0,51;0;2,47;0,45;0,8;6,56;0;0,41;0;0;0;0,49;0,02;0;0;0,03;0;2,11;0;60,66;0;0,58;4,95;0,35;16,16;1,36;0,33;0;0;0,25;0,12;52,3;0,19;0,28;12,84;2,1;0;1117,01;0,86;2,23;0,42;0,17;0;0,18;0,66;0,77;0,34;0;0,26;0;0;88,54;0;0;0;0;0;7,66;11,93;0,3
"X13.TY.28";0;0;0,13;34,37;0;0;0;0,98;0;0;0;49,34;0,84;0;131,34;0;6,34;0;0;1,11;1,82;0;0,12;0;0;0;0;0;0;0;0;0;0;37,04;0;0,3;0,55;0;0;0;0;0;0;0;0,01;0;0;0;82,34;0;0,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,64;0;0;0;0;0;0;198,78;0;0;2,56;0,04;38,18;0;0;0;0;0;0;78,91;1,84;2,84;22,53;3,68;0;914,17;0,61;0;0,5;0,92;0;0,51;0;0,05;0;0;0;0;0;0,2;0;0;0;0;0;76,12;17,37;1,45
"X13.TY.27";0;0;0;333,52;0;0;0;0;0;0,62;0;33,01;0;0;12,29;0;0;0;0;4,38;20,45;0;0;0;0;0;0;0;0;0;0;0;0;3,34;0;0,58;0,4;0;0;0;0;0;0;0;0;0;0;0;76,79;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0;0;0;0;4,22;0,65;0;0;0;0;6,02;24,96;0;0;0;0,36;29,03;1,19;0;0;0;0,14;0;10,78;0,07;0,73;24,1;0,27;0;1103,22;0,57;0;0;2,45;0;0;2,24;0;0;0;0;0;0;4,7;0;0;0;0;0;8,4;0,45;0
"X13.TY.26";0;0;0,18;50,57;0;0;0;0;0;0;0;61,28;0,07;0;47,6;0;0;7,18;0;3,16;17,05;0;0;0;0;0;1,45;0;0;0;0;0;0;4,57;0;0;1,28;0;0;0;0;0;0;0;0;0;0;0;57,19;0;0,27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,97;0;0;0;0;0;0;8,07;0;0;0,29;0;11,94;0;0;0;0;0;0;18,45;0,06;0;16,51;0,41;0;1368,77;3,44;0;1,35;1,45;0;1,52;7,23;0;0;0;0;0;0;0;0,87;0;0;0;0;10,61;0,25;2,96
"X13.TY.29";0;0;0;46,97;1,87;0;0,07;0;0;0;0;148,64;0,07;0;5,5;0;5,03;0;0;0,41;0,72;0;0;0;0;0;0;0;0;0;0;0;0;107,72;0;3,58;0,12;3,99;0;0;0;0;0;0;0;0;0;0;176,75;0;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0,38;0;0;0;0;0;0;1,31;0;1,53;0;0;1,96;0,14;0;0;0;0;0;0;0;11,46;0,16;0;0;0;0;1174,89;3,07;0;0;0;0;0;0;0;0;0;0;0;0;0;2,26;0;0;0;0;2,98;1,45;2,47
"X13.TY.30";0;0;0,39;108,23;0,12;0;1,3;10,49;0;0,56;0,66;26,35;0,04;0,58;17,49;0;13,31;0;0;1,54;2,07;0;0;0;0,27;0;0;0;0;0;0;0;0,17;237,98;2,11;2,92;0,18;1,15;0;0;0,85;0,16;0,38;0,56;0,36;0;0;0;96,71;0;0,84;0;0;0;0,35;0;0;0;0;10,81;0,81;1,22;0,15;0;0,09;0;0,55;0;0,54;0;0;0,06;0;2,19;0;0;7,12;0,58;1,78;0,13;0;0;0;0,19;0,45;73,5;0,68;0,53;3,25;0,4;0,4;1025,83;0,32;0;1,15;1,32;0;0,71;0;0,5;0;0;0;0;0;0,3;0,36;0;0;0;0,01;19,88;10,98;15,09
"X13.TY.31";0;0;0,12;8,22;1,05;1,12;0;0,34;0;0;0;4,69;0;0;314,72;0;0,58;0;0;4,94;3,64;0;0;0;0;0;0,03;0;0,44;0;0;0;0;2,33;0,46;18,96;1,44;0;0;0;0;0;0;0;0;0;0;0;31,7;0;0,31;0;0;0;0;0;0;0;0;0,41;0;0,38;0;0;0,11;0;6,71;0,39;0;0;0;0;0;189,09;0;0;0,34;0,03;39,76;0,23;0;0;0;0,25;0;107,46;0,46;0,36;82,77;0,65;0;854,25;0,43;0;0,17;5,31;0;0,87;0;0;0;0;0,18;0;0;0,18;0;0;0;0;0;23,31;0,81;0
"X13.TY.32";0;0;0,03;10,62;0;0,02;0;0;0;0,28;0;14,6;0,01;0;170,33;0;1,46;0;0;0,24;1,14;0;0,01;0;0;0;1,62;0;0;0,07;0;0;0;5,1;2,59;1,62;0,35;0;0;0;0;0;0;0;0,01;0;0;0;61,95;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0,11;0;0,03;0;0,29;0;0,57;0;0;0;0;52,62;0;0;0,27;0,09;42,13;0,16;0;0;0;0,64;0;61,89;2,79;0;28,07;0,2;0;1193,62;0,73;0;1,97;1,28;0;0;0,08;0;0;0;0,23;0,01;0;2,16;0;0;0;0;0,01;41,93;5,89;0
"X13.TY.25";0;0;0,1;7,03;0;0,02;0;0,02;0;0;0;51,41;0,28;0;155,79;0;0;0;0;6,17;8,7;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;3,34;6,2;0;0;0;0;0;0;0;0;0;0;0;24,96;0;0;0;9,44;0;0;0;0;0;0;2,37;0;0,39;0;0;0;0;0,03;0;0;0;0;0;0;192,52;0;0;0;0;338,6;0;0;0;0;0;0;42,98;6,18;0;55,96;0,05;0;762,52;2,75;0;15,58;0;0;0;0;0;0;0;0;0;0;2,46;0;0;0;0;0;5,82;4,97;0
"X13.TY.17";0;0;0;21,06;0;29,52;0;1,18;0;0;0;3,67;0,04;0;31,83;0;0;0;0;3,15;0,15;0;0;0;0;0;203,84;0;0;0,91;0;0;0;0;0;0;0,79;0;0;0;0;0;0;0;0,08;0;0;7,33;796,89;0;0;0;11,98;0;0;0;0;1,12;0;0;0;0,12;1,5;0;0;0;4,27;0;0;0;0;0;0;0;0;0;0;0;0;0,32;0;0;0,39;0;0;1,66;0;0;3,04;0;0;571,14;9,93;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;1,99;1,92;0
"X13.TY.20";0;0,69;0,09;9,92;0;13,87;0;0;0;0;0;3,21;0;0;270,14;0;0;0;0;6,48;0,78;0;0;0;0;0;33,04;0;0;2,28;0;0;0;0;0;3,33;0,38;0;0;0,51;0;0;0;0;0;0;0;0;77,95;0;0;0;0;0;0;0,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,38;0;0;0;0;0;0;0;0;0;0;0;0;0;256,13;2,14;0;305,72;0,56;0;606,18;11,23;0;0;0;0;0;0;0;0;2,3;0;0;0;0,27;0;0;0;11,71;0;78,8;6,23;0
"X13.TY.21";0;0;0;14,7;0;0;0,18;0,47;0,98;0;0;9,53;0;0;15,41;0;10,77;0;0;5,48;0,32;0;0;0;0;0;0;0;1,01;0;0;0;0;44,4;0;0;0,67;0;0;0;0;0;0;0;0;0;0;0;34,13;0;0;0;0;1,55;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;0;0;0;0;0;3,49;0;0;0;0;5,18;0;0;0;0;0;0;15,6;0;0;8,5;0;0;1524,16;0;0;0;0,98;0;0;0;0;0;0;0;0;0;2,34;0;0;0;0;0;6,5;0,29;0
"X13.TY.23";0;12,06;0,37;65,1;0;0;1,14;0;0;0;0;68,99;0,17;0;29,75;2,87;3,21;0;0;0,89;0,1;0;0;0;0;0;0;0;0,52;0;0;0;0;32,17;0;4,05;0,18;0;0;0;0;0;0;0;0;0;0;0;209,91;0;0;0,06;7,42;4,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,3;0;0;0;13,34;10,6;0;0;0;24,04;0;43,6;1,21;0;44,99;1,85;0;983,05;1,5;0;2,96;0;0;0;0;0,07;0;0;1,49;0,1;0,08;124,87;0;0;0;0;0;3,45;3,86;1,62
"X13.TY.19";0;0;0;0;0;3,06;0;0;0;0;0;120,77;0,56;0;21,53;0;0;0;0;76,24;0;0;0;0;0;0;0;4,66;0;0;0;0;0;0;0;0;6,86;0;0;0;0;0;0;0;0;0;0;0;653,53;0;0;0;22,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139,93;0;0;155,13;0;0;491,84;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,68;0
"X13.TY.22";0,99;6,11;0;0,7;0;0,37;0,05;4,2;0;0,12;0;27,64;0,04;0;384,88;0;11,02;0;0;0,39;0,01;0;0;0;0;0;3,93;0,01;0;0,93;0;0;0;40,23;0;0,96;0,11;0,55;0;4,12;0;0;0;0;0,08;0;0;1,92;153,98;0;0;0;0;0;2,29;0;1,17;0,12;0;0,1;0;0,33;0;0;0;0;3,75;0;0;0;0;0;0;0;7,97;0;0;0;13,41;1,56;0;0;0;4,12;0;26,57;1,66;0;43,31;1,55;0;903,23;1,97;4,79;1,67;2,92;0;0;0;0,26;0;2,79;1,8;0,13;0,08;33,35;0;0;0;0;0;4,71;1,05;0
"X13.TY.24";0;0,45;0,01;16,62;0;0;0,02;6,35;0,9;0;0,49;29,04;0,09;0,25;29,77;0;4,43;0;0;0,04;0,03;0;0;0;0;0;0,46;0,06;0,16;0;0,23;0;0;108,77;0;0,61;0;6,2;0;0;0,32;0,16;0,02;0,19;0,04;0;0;3,55;53,53;0;0;0;0,17;0,44;5,78;0;1,91;0,18;1,22;1,33;0;0;0;0;0;0;0,18;0;0;0,24;0;0;0,4;1,35;0,16;0;0,24;0;1,8;11,47;0,04;0;0;0;0,37;25,78;0,72;0,3;29,27;2,63;0,52;1332,56;7,55;8,3;0;0,57;0,05;0;0;0,82;0;0;0;0;0;0,32;0;1,83;0;0;0;6,3;2,01;0,4
"X13.TY.18";0;0;0;29,99;0;0;0;0;0;0;0;163,3;0;0;36,88;0;75,12;0;0;42,74;9,2;0;0;0;0;0;0;0;0;0;0;0;0;69,4;0;0;0;0;0;0;0;0;0;0;0;109,72;0;0;121,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,85;0;0;0;0;0;0;0;0;0;0;0;55,67;0;0;2,78;0;0;942,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,17;30,89;0
